Day of last_activity_date	Count
1-Jan-15	15105
2-Jan-15	20162
3-Jan-15	14637
4-Jan-15	22725
5-Jan-15	48432
6-Jan-15	91869
7-Jan-15	224998
8-Jan-15	279000
9-Jan-15	176727
10-Jan-15	42578
11-Jan-15	22831
12-Jan-15	47571
13-Jan-15	45137
14-Jan-15	42941
15-Jan-15	36467
16-Jan-15	35355
17-Jan-15	17300
18-Jan-15	17109
19-Jan-15	18772
20-Jan-15	30532
21-Jan-15	49653
22-Jan-15	42484
23-Jan-15	37113
24-Jan-15	14834
25-Jan-15	17611
26-Jan-15	39593
27-Jan-15	37340
28-Jan-15	37511
29-Jan-15	36010
30-Jan-15	34913
31-Jan-15	14336
1-Feb-15	23280
2-Feb-15	43243
3-Feb-15	43151
4-Feb-15	44467
5-Feb-15	52100
6-Feb-15	50152
7-Feb-15	18843
8-Feb-15	21845
9-Feb-15	66729
10-Feb-15	67342
11-Feb-15	38718
12-Feb-15	35664
13-Feb-15	35273
14-Feb-15	17273
15-Feb-15	18307
16-Feb-15	21476
17-Feb-15	26745
18-Feb-15	43978
19-Feb-15	42300
20-Feb-15	36614
21-Feb-15	15354
22-Feb-15	19869
23-Feb-15	45200
24-Feb-15	46003
25-Feb-15	43208
26-Feb-15	38061
27-Feb-15	36115
28-Feb-15	19515
1-Mar-15	22323
2-Mar-15	50298
3-Mar-15	51055
4-Mar-15	44729
5-Mar-15	37024
6-Mar-15	48887
7-Mar-15	31681
8-Mar-15	18146
9-Mar-15	43404
10-Mar-15	42014
11-Mar-15	36563
12-Mar-15	35568
13-Mar-15	33432
14-Mar-15	16332
15-Mar-15	20195
16-Mar-15	42481
17-Mar-15	43597
18-Mar-15	41308
19-Mar-15	36175
20-Mar-15	36485
21-Mar-15	17941
22-Mar-15	21374
23-Mar-15	43561
24-Mar-15	44963
25-Mar-15	45926
26-Mar-15	36542
27-Mar-15	32410
28-Mar-15	41923
29-Mar-15	46933
30-Mar-15	45273
31-Mar-15	43259
1-Apr-15	40268
2-Apr-15	35071
3-Apr-15	19704
4-Apr-15	5421
5-Apr-15	23309
6-Apr-15	47293
7-Apr-15	46543
8-Apr-15	113898
9-Apr-15	194317
10-Apr-15	139342
11-Apr-15	141090
12-Apr-15	189638
13-Apr-15	118157
14-Apr-15	55033
15-Apr-15	44758
16-Apr-15	40294
17-Apr-15	65185
18-Apr-15	41766
19-Apr-15	27830
20-Apr-15	55314
21-Apr-15	52298
22-Apr-15	50519
23-Apr-15	35173
24-Apr-15	34334
25-Apr-15	16933
26-Apr-15	24594
27-Apr-15	48609
28-Apr-15	43632
29-Apr-15	37675
30-Apr-15	34146
1-May-15	32760
2-May-15	15820
3-May-15	24442
4-May-15	47185
5-May-15	57490
6-May-15	81894
7-May-15	88569
8-May-15	57381
9-May-15	16630
10-May-15	17555
11-May-15	40452
12-May-15	58396
13-May-15	53619
14-May-15	32862
15-May-15	31451
16-May-15	14748
17-May-15	27691
18-May-15	53439
19-May-15	40862
20-May-15	40205
21-May-15	35925
22-May-15	31157
